permit_id,permit_type,zone,project_value_m,missing_documents,reviewer_queue,prior_revisions,contractor_approved_count,delay_risk
1,residential,urban,4.84,1,17,1,23,1
2,residential,historic,0.28,0,16,1,16,0
3,commercial,historic,1.5,4,20,0,24,0
4,civil,coastal,1.86,1,24,0,2,1
5,tenant_improvement,coastal,3.96,0,32,0,12,1
6,tenant_improvement,coastal,3.79,0,5,1,24,0
7,residential,suburban,5.64,3,20,3,20,0
8,commercial,coastal,2.36,2,7,1,17,0
9,commercial,historic,2.52,4,17,2,24,1
10,commercial,urban,5.25,3,20,0,6,0
11,tenant_improvement,suburban,4.29,3,32,1,8,1
12,tenant_improvement,historic,5.84,3,26,1,4,1
13,residential,urban,5.61,1,13,3,19,1
14,civil,historic,3.48,4,3,0,21,0
15,tenant_improvement,coastal,0.8,3,13,3,0,0
16,tenant_improvement,suburban,3.34,0,22,1,4,0
17,commercial,urban,3.93,3,4,0,11,0
18,tenant_improvement,suburban,0.45,4,8,0,23,0
19,residential,suburban,0.9,3,38,1,8,1
20,civil,suburban,6.04,1,22,3,21,0
21,civil,historic,0.86,1,7,2,0,0
22,commercial,suburban,0.13,0,17,0,1,0
23,residential,suburban,1.87,3,16,1,23,0
24,civil,suburban,5.12,3,15,0,3,0
25,tenant_improvement,historic,2.72,0,9,0,12,0
26,residential,suburban,1.31,4,31,1,13,1
27,civil,suburban,5.69,0,31,0,1,0
28,residential,urban,6.03,1,13,3,15,0
29,civil,urban,1.14,0,27,2,14,1
30,civil,suburban,1.3,1,6,0,23,0
31,residential,historic,3.31,4,13,0,16,1
32,commercial,urban,3.9,1,28,0,18,1
33,residential,urban,2.77,4,36,2,8,1
34,tenant_improvement,suburban,1.79,1,22,3,10,0
35,residential,urban,3.02,4,9,0,17,1
36,tenant_improvement,suburban,6.07,0,18,2,9,1
37,tenant_improvement,urban,4.37,4,22,0,4,1
38,residential,suburban,1.83,4,16,2,6,0
39,tenant_improvement,historic,1.69,0,8,3,8,1
40,tenant_improvement,suburban,4.17,2,13,3,17,0
41,residential,urban,0.56,1,37,0,11,0
42,commercial,historic,0.9,2,26,0,11,1
43,commercial,urban,2.35,4,29,1,7,0
44,commercial,historic,0.24,2,29,1,8,1
45,residential,historic,5.68,3,17,1,14,1
46,commercial,suburban,0.23,1,28,2,8,0
47,tenant_improvement,coastal,4.2,3,37,2,0,1
48,tenant_improvement,suburban,3.81,2,5,0,19,0
49,tenant_improvement,historic,3.97,4,10,3,18,1
